time	I(Lcoil)
9.263322814642632e-004	5.519114e+003
9.267322814642630e-004	5.519265e+003
9.271322814642628e-004	5.519415e+003
9.275322814642626e-004	5.519565e+003
9.279322814642624e-004	5.519715e+003
9.283322814642622e-004	5.519865e+003
9.289179957499762e-004	5.520083e+003
9.295037100356901e-004	5.520301e+003
9.300894243214041e-004	5.520518e+003
9.306751386071181e-004	5.520735e+003
9.312608528928322e-004	5.520951e+003
9.318465671785461e-004	5.521166e+003
9.324322814642601e-004	5.521380e+003
9.333322814642596e-004	5.521709e+003
9.342322814642591e-004	5.522037e+003
9.351322814642587e-004	5.522362e+003
9.360322814642582e-004	5.522687e+003
9.369322814642577e-004	5.523010e+003
9.378322814642573e-004	5.523332e+003
9.387322814642568e-004	5.523652e+003
9.401751386071132e-004	5.524162e+003
9.416179957499696e-004	5.524670e+003
9.430608528928260e-004	5.525174e+003
9.445037100356823e-004	5.525674e+003
9.459465671785388e-004	5.526172e+003
9.473894243213952e-004	5.526666e+003
9.488322814642516e-004	5.527157e+003
9.494465671785369e-004	5.527365e+003
9.500608528928224e-004	5.527572e+003
9.506751386071078e-004	5.527779e+003
9.512894243213932e-004	5.527985e+003
9.519037100356785e-004	5.528191e+003
9.525179957499640e-004	5.528396e+003
9.531322814642494e-004	5.528601e+003
9.532322814642493e-004	5.528634e+003
9.566322814642477e-004	5.529755e+003
9.600322814642459e-004	5.530861e+003
9.634322814642442e-004	5.531952e+003
9.668322814642425e-004	5.533028e+003
9.702322814642408e-004	5.534088e+003
9.736322814642392e-004	5.535133e+003
9.770322814642374e-004	5.536163e+003
9.779037100356666e-004	5.536425e+003
9.787751386070955e-004	5.536686e+003
9.796465671785247e-004	5.536946e+003
9.805179957499536e-004	5.537205e+003
9.813894243213828e-004	5.537464e+003
9.822608528928117e-004	5.537721e+003
9.831322814642409e-004	5.537978e+003
9.832322814642409e-004	5.538007e+003
9.875037100356720e-004	5.539251e+003
9.917751386071029e-004	5.540476e+003
9.960465671785340e-004	5.541683e+003
1.000317995749965e-003	5.542872e+003
1.004589424321396e-003	5.544042e+003
1.008860852892827e-003	5.545193e+003
1.013132281464258e-003	5.546327e+003
1.013232281464258e-003	5.546353e+003
1.017503710035689e-003	5.547470e+003
1.021775138607120e-003	5.548571e+003
1.026046567178551e-003	5.549658e+003
1.030317995749982e-003	5.550731e+003
1.034589424321413e-003	5.551788e+003
1.038860852892844e-003	5.552831e+003
1.043132281464275e-003	5.553858e+003
1.043232281464275e-003	5.553882e+003
1.047503710035706e-003	5.554897e+003
1.051775138607137e-003	5.555899e+003
1.056046567178568e-003	5.556889e+003
1.060317995749999e-003	5.557867e+003
1.064589424321430e-003	5.558833e+003
1.068860852892861e-003	5.559786e+003
1.073132281464292e-003	5.560728e+003
1.073232281464292e-003	5.560750e+003
1.077503710035723e-003	5.561680e+003
1.081775138607154e-003	5.562600e+003
1.086046567178585e-003	5.563510e+003
